Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Affiliations,Author Keywords,Index Keywords,Publisher,Language of Original Document,Document Type,Open Access,ISSN,EID
"Frazão M.; Martins F.D.L.; Cipriano G., Jr.","Frazão, Murillo (12344533000); Martins, Fábio de Lima (59928372700); Cipriano, Gerson (58033920800)",12344533000; 59928372700; 58033920800,Recumbent FES-Cycling Exercise Improves Muscle Performance and Ambulation Capacity in Hospitalized Patients: A Randomized Controlled Trial,2025,Artificial Organs,0,10.1111/aor.15029,"Lauro Wanderley University Hospital – UFPB/EBSERH, PB, João Pessoa, Brazil; Postgraduate Program in Health Sciences and Technologies, University of Brasília – UnB, Brasília, Brazil",ambulation; efficiency; electrical stimulation; exercise; FES-cycling; power; strength; torque; weakness,"Aged; Bed Rest; Electric Stimulation Therapy; Exercise Therapy; Female; Hospitalization; Humans; Male; Middle Aged; Muscle Strength; Muscle Weakness; Muscle, Skeletal; Treatment Outcome; Walking; Functional neural stimulation; Ambulation; Cycling exercise; Electrical stimulations; Exercise; Functional electri-cal stimulations; Functional electrical stimulation cycling; Muscle weakness; Power; Strength; Weakness; adult; Article; controlled study; cycling; electrostimulation; exercise; female; hospitalization; human; male; muscle function; muscle strength; muscle weakness; randomized controlled trial; torque; weakness; aged; bed rest; electrotherapy; hospitalization; kinesiotherapy; middle aged; muscle weakness; pathophysiology; procedures; skeletal muscle; therapy; treatment outcome; walking; Artificial organs",John Wiley and Sons Inc,English,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,0160564X,2-s2.0-105007238893
Almeida R.L.J.; Santos N.C.; Morais J.R.F.; Muniz C.E.S.; de Queiroz L.W.P.; Venâncio M.J.C.; de Souza Neto O.B.; da Silva Y.T.F.; Nóbrega M.M.G.; de Oliveira B.F.; Albuquerque J.C.; Leite A.C.N.; de Brito A.C.O.; do Bonfim K.S.; de Assis Cavalcante J.,"Almeida, Raphael Lucas Jacinto (57217715043); Santos, Newton Carlos (57218104648); Morais, Jessica Renaly Fernandes (58511849800); Muniz, Cecilia Elisa Sousa (57548840500); de Queiroz, Lucas Wallyson Pereira (60085666700); Venâncio, Maely Jezzer Cândido (60085595700); de Souza Neto, Osmar Batista (59323314400); da Silva, Ynis Thaciane Felix (59262521100); Nóbrega, Martha Maria Gomes (60085747000); de Oliveira, Bárbara Freire (59129098600); Albuquerque, Juliana Cruz (57995123800); Leite, Ana Carolina Nóbrega (59262828900); de Brito, Ana Carla Oliveira (59012756400); do Bonfim, Karina Soares (59173990000); de Assis Cavalcante, Josilene (34975238700)",57217715043; 57218104648; 58511849800; 57548840500; 60085666700; 60085595700; 59323314400; 59262521100; 60085747000; 59129098600; 57995123800; 59262828900; 59012756400; 59173990000; 34975238700,"Modification of cornstarch: Influence of the addition of sodium chloride, carbonate and phosphate combined with a pulsed electric field",2025,Food Chemistry,2,10.1016/j.foodchem.2025.146266,"Postgraduate Program in Chemical Engineering, Federal University of Rio Grande do Norte, RN, Natal, Brazil; Postgraduate Program in Food Engineering, Federal University of Campina Grande, PB, Campina Grande, Brazil; Postgraduate Program in Chemical Engineering, Federal University of Campina Grande, PB, Campina Grande, Brazil; Postgraduate Program in Chemical Engineering, Federal University of Paraiba, PB, João Pessoa, Brazil; Postgraduate Program in Chemical Engineering, Federal University of Pernambuco, PE, Recife, Brazil; Postgraduate Program in Agricultural Engineering, Federal University of Campina Grande, PB, Campina Grande, Brazil; Postgraduate Program in Materials Engineering, Federal University of Campina Grande, PB, Campina Grande, Brazil",Corn starch modification; Gelatinization behavior; Granular structure; Hofmeister effect; Ionic environment; Pulsed electric field,Carbonates; Electric Conductivity; Hydrogen-Ion Concentration; Phosphates; Sodium Chloride; Solubility; Starch; Zea mays; Amylopectins; Chains; Electronegativity; Hydrogen bonds; pH effects; Phosphorus compounds; Sodium Carbonate; amylopectin; amylose; carbonic acid; phosphate; polymer; sodium chloride; starch; carbonic acid derivative; Corn starch; Corn starch modification; Gelatinisation; Gelatinization behavior; Granular structuress; Hofmeister effects; Ionic environment; Pulsed electric field; Sodium salt; Starch modification; Article; differential scanning calorimetry; electric conductivity; Fourier transform infrared spectroscopy; hydrodynamics; molecular weight; pH; pulsed electric field; size exclusion chromatography; X ray diffraction; chemistry; maize; solubility; Electric fields; Gelation; Sodium chloride,Elsevier Ltd,English,Article,,03088146,2-s2.0-105015036525
de Meneses K.V.P.; de Aquino T.A.A.,"de Meneses, Kátia Vanessa Pinto (55329301300); de Aquino, Thiago Antônio Avellar (57190883010)",55329301300; 57190883010,Meaning of Life and Values After Spinal Injury; [Sentido da vida e valores após lesão medular],2025,Interacao em Psicologia,0,10.5380/riep.v29i2.85597,"Universidade de Brasília, DF, Brasília, Brazil; Universidade Federal da Paraíba, PB, João Pessoa, Brazil",Logotherapy; Meaning of Life; Spinal Cord Injury,,Universidade Federal do Parana - Departamento de Psicologia,English,Article,All Open Access; Gold Open Access,19818068,2-s2.0-105035681057
de Lira M.L.A.; Costa K.T.D.S.; de Morais T.N.B.; Oliveira A.G.R.D.C.; de Andrade F.B.,"de Lira, Monique Léia Aragão (60123239800); Costa, Ketyllem Tayanne Da Silva (57221798438); de Morais, Thiffany Nayara Bento (57226820540); Oliveira, Angelo Giuseppe Roncalli Da Costa (55810698500); de Andrade, Fábia Barbosa (36131259100)",60123239800; 57221798438; 57226820540; 55810698500; 36131259100,Evaluation of vaccination coverage in Brazilian regions from 2000 to 2022,2025,Medicine (United States),0,10.1097/MD.0000000000044055,"Federal University of Rio Grande do Norte, Rio Grande do Norte, Brazil; Federal University of Paraíba, Paraíba, Brazil",epidemiology; health policy; immunization; vaccination coverage,"Adolescent; Adult; Aged; Brazil; Child; Child, Preschool; COVID-19; COVID-19 Vaccines; Female; Humans; Immunization Programs; Infant; Infant, Newborn; Male; Middle Aged; SARS-CoV-2; Vaccination; Vaccination Coverage; Young Adult; BCG vaccine; chickenpox vaccine; diphtheria pertussis tetanus vaccine; hepatitis A vaccine; hepatitis B vaccine; Human papilloma virus vaccine; Meningococcus vaccine; Pneumococcus vaccine; poliomyelitis vaccine; yellow fever vaccine; SARS-CoV-2 vaccine; adolescent; adult; Article; Brazilian; child; clinical evaluation; coronavirus disease 2019; health care policy; human; immunization; infant; linear regression analysis; newborn; pandemic; population; preventive health service; public health; regression analysis; spatial analysis; temporal analysis; vaccination; vaccination coverage; vaccine preventable disease; aged; Brazil; coronavirus disease 2019; epidemiology; female; male; middle aged; preschool child; prevention and control; Severe acute respiratory syndrome coronavirus 2; vaccination; young adult",Lippincott Williams and Wilkins,English,Article,All Open Access; Gold Open Access,00257974,2-s2.0-105017540620
Filho C.D.S.M.B.; Galvão J.L.F.M.; Lima E.O.; Perez-Castillo Y.; Velásquez-López Y.; de Sousa D.P.,"Filho, Carlos d. S. M. Bezerra (57204647777); Galvão, José L. F. M. (59325666100); Lima, Edeltrudes O. (59754743500); Perez-Castillo, Yunierkis (17435771700); Velásquez-López, Yendrek (57948609100); de Sousa, Damião P. (55853620400)",57204647777; 59325666100; 59754743500; 17435771700; 57948609100; 55853620400,Synthesis and Antimicrobial Evaluation of Chroman-4-One and Homoisoflavonoid Derivatives,2025,Molecules,2,10.3390/molecules30173575,"Department of Pharmaceutical Sciences, Federal University of Paraíba, PB, João Pessoa, 58051-900, Brazil; Bio-Cheminformatics Research Group and Facultad de Ingeniería y Ciencias Aplicadas, Universidad de Las Américas, Quito, 170125, Ecuador",antibacterial; antifungal; biologic activity; Candida; chromanone; flavonoid; in silico; medicinal plants; natural products,Anti-Infective Agents; Antifungal Agents; Chromones; Isoflavones; Microbial Sensitivity Tests; Molecular Structure; Structure-Activity Relationship; antifungal agent; antiinfective agent; chromone derivative; isoflavone derivative; chemical structure; chemistry; microbial sensitivity test; structure activity relation; synthesis,Multidisciplinary Digital Publishing Institute (MDPI),English,Article,All Open Access; Gold Open Access; Green Open Access,14203049,2-s2.0-105015894351
Menezes D.W.L.; de Souza B.I.,"Menezes, Danilo Wilson Lemos (60260267200); de Souza, Bartolomeu Israel (57216403688)",60260267200; 57216403688,Colonial Conservationism and the “Precautions for the Conservation of Forests” in Paraiba at the End of the 18th Century; [Conservacionismo Colonial e as “Precauções para a Conservação das Matas” Paraibanas no Final do Séc. XVIII],2025,Historia Ambiental Latinoamericana y Caribena,0,10.32991/2237-2717.2025v15i3.p191-229,"Doutorando em Meio Ambiente e Desenvolvimento (Universidade Federal da Paraíba), Brazil; Historiador, Analista em Educação e Pesquisador no Núcleo de Documentação e Informação Histórica Regional (NDIHR) da, Universidade Federal da Paraíba, Brazil; Doutor em Geografia (Universidade Federal do Rio Grande do Sul, Brazil; Pós-doutor em Biogeografia (Universidad de Sevilla, Spain; Titular do Departamento de Geociências, Universidade Federal da Paraíba, Brazil",conservation; cultural forests; Environmental History; forest resources; Northeastern Atlantic Forest,,Centro Universitario de Anapolis,Portuguese,Article,All Open Access; Gold Open Access,22372717,2-s2.0-105026140561
Rebouças A.S.; Branco J.M.; Simões R.; Lourenço P.B.; Diógenes H.J.F.,"Rebouças, Arthur S. (57222536385); Branco, Jorge M. (56228789000); Simões, Rui (24723343800); Lourenço, Paulo B. (7004615647); Diógenes, Hidelbrando J.F. (59929158900)",57222536385; 56228789000; 24723343800; 7004615647; 59929158900,Design of stiffened end-plate moment-resisting steel-timber joints with multiple bonded-in rods using the component method,2025,Engineering Structures,1,10.1016/j.engstruct.2025.120793,"Federal Institute of Education, Science and Technology of Rio Grande do Norte, São Paulo do Potengi, RN, São Paulo, Brazil; Department of Civil Engineering, University of Minho, ISISE, Guimarães, Portugal; Department of Civil Engineering, University of Coimbra, ISISE, Coimbra, Portugal; Graduate Program in Civil and Environmental Engineering (PPGECAM), Federal University of Paraíba, PB, João Pessoa, Brazil",Bonded-in rods; Component method; Experimental tests; Moment-resisting joints; Rotational stiffness; Steel-timber joints,Correlation methods; Image analysis; Method of moments; Plates (structural components); Steel beams and girders; Strain measurement; Structural analysis; Timber; Bonded-in rod; Component methods; Endplates; Experimental test; Moment resistance; Moment resisting; Moment-resisting joint; Rotational stiffness; Steel timber joints; Timber joints; ductile deformation; experimental study; failure mechanism; prediction; steel structure; stiffness; timber; Stiffness,Elsevier Ltd,English,Article,,01410296,2-s2.0-105008492813
Lima M.A.; Cruz D.; Silva D.R.; Albuquerque D.D.; Lacerda D.F.; Costa R.; de Souza Filho G.L.; de Araújo T.M.,"Lima, Manuella Aschoff (57214112660); Cruz, Daniel (60024618700); Silva, Diego Ramon (60024453300); Albuquerque, Dilainne Daniel (60025417600); Lacerda, Daniel Faustino (60024618800); Costa, Rostand (35301991100); de Souza Filho, Guido Lemos (26323075500); de Araújo, Tiago Maritan (20435623900)",57214112660; 60024618700; 60024453300; 60025417600; 60024618800; 35301991100; 26323075500; 20435623900,VLibrasBD: A Brazilian Portuguese–Brazilian sign language (Libras) bilingual text dataset designed to support neural machine translation,2025,Data in Brief,1,10.1016/j.dib.2025.111911,"Digital Video Applications Research Center - NPE-LAVID, Paraíba Federal University - UFPB, Brazil",Brazilian sign language (Libras); Corpus; Gloss; Interlingua; Machine translation,Assistive technology; Computational linguistics; Computer aided language translation; Data mining; Natural language processing systems; Neural machine translation; Neural networks; Syntactics; Text processing; Bilingual texts; Bilinguals; Brazilian sign language (libra); Corpus; Gloss; Interlingua; Machine translation models; Machine translations; Sign language; Text corpora; Glossaries,Elsevier Inc.,English,Data paper,All Open Access; Gold Open Access; Green Open Access,23523409,2-s2.0-105012258643
Lopes J.R.; Esteves I.M.; Libonati N.B.; da Fonte Gomes Silva F.M.T.; Porta G.; Nau A.L.,"Lopes, Jonathan Rodrigues (60172428900); Esteves, Inês Martins (60035627400); Libonati, Natália Botelho (60172158600); da Fonte Gomes Silva, Fátima Maria Thaiz (60172248000); Porta, Gilda (7006836242); Nau, Angélica Luciana (59264839800)",60172428900; 60035627400; 60172158600; 60172248000; 7006836242; 59264839800,Efficacy of ileal bile acid transport inhibitors in children with Alagille syndrome: a meta-analysis,2025,European Journal of Pediatrics,1,10.1007/s00431-025-06576-w,"Faculdade de Ciências Médicas de São José Dos Campos HUMANITAS, São José Dos Campos, Brazil; School of Medicine and Biomedical Sciences, University of Porto, Porto, Portugal; Pontifical Catholic University of Minas Gerais, Belo Horizonte, Brazil; Federal University of Paraíba, João Pessoa, Brazil; Gastroenterology and Pediatrics Division, Hospital Sírio-Libanês, São Paulo, Brazil; Pediatric Gastroenterology Division, Hospital Jaraguá, Jaraguá Do Sul, Brazil",Alagille syndrome; Cholestatic pruritus; Ileal bile acid transport inhibitors,"Alagille Syndrome; Bile Acids and Salts; Child; Child, Preschool; Humans; Ileum; Pruritus; Randomized Controlled Trials as Topic; Treatment Outcome; alanine aminotransferase; alkaline phosphatase; aspartate aminotransferase; bile acid; bilirubin; gamma glutamyltransferase; liver enzyme; maralixibat; odevixibat; bile acid; abdominal pain; Alagille syndrome; bile acid blood level; child; Cochrane Library; controlled study; diarrhea; drug efficacy; drug safety; Embase; female; follow up; GRADE approach; human; ileum; major clinical study; male; maximum likelihood method; measurement; Medline; meta analysis; Pediatric Quality of Life Inventory; pruritus; quality of life; randomized controlled trial; Review; social psychology; systematic review; transplant free survival; vomiting; Alagille syndrome; complication; drug therapy; etiology; ileum; metabolism; preschool child; pruritus; randomized controlled trial (topic); treatment outcome",Springer Science and Business Media Deutschland GmbH,English,Review,,03406199,2-s2.0-105021068167
do Nascimento Santos J.V.; de Moraes P.W.S.; Pereira M.N.; Costa Leite J.V.; Magalhães G.D.A.P.; Capehart K.; de Andrade A.K.M.; Wanderley e Lima R.B.,"do Nascimento Santos, João Vitor (59706446700); de Moraes, Pablo Winícius Sousa (60105215300); Pereira, Matheus Nobrega (60105277100); Costa Leite, Juan Vitor (60105265500); Magalhães, Gabriela de Alencar Pinto (57755665100); Capehart, Kim (9239749100); de Andrade, Ana Karina Maciel (36559108300); Wanderley e Lima, Renally Bezerra (57216672229)",59706446700; 60105215300; 60105277100; 60105265500; 57755665100; 9239749100; 36559108300; 57216672229,Bioactive glass products for the treatment of dentin hypersensitivity: a scoping review,2025,Clinical Oral Investigations,5,10.1007/s00784-025-06516-w,"Department of Dentistry, Federal University of Rio Grande do Norte, Rio Grande do Norte, Natal, Brazil; Department of Restorative Dentistry, Federal University of Paraiba, Campus I Lot. Cidade Universitária, Paraíba, João Pessoa, Brazil; Dental Materials Division, Departament of Restorative Dentistry, Piracicaba Dental School, State University of Campinas, São Paulo, Brazil; Department of Restorative Sciences, Dental College of Georgia at Augusta University, Augusta, GA, United States; Department of General Dentistry, Dental College of Georgia at Augusta University, Augusta, GA, United States",Bioactive glasses; Biocompatible materials; Dentin hypersensitivity; Dentinal tubule occlusion,Ceramics; Dentin Desensitizing Agents; Dentin Sensitivity; Glass; Humans; Toothpastes; desensitizing agent; glass; toothpaste; ceramics; chemistry; dentin hypersensitivity; drug therapy; human; therapy,Springer Science and Business Media Deutschland GmbH,English,Review,,14326981,2-s2.0-105016422578
Monteiro D.L.A.; Laureano I.C.C.; Menezes C.C.T.; de Paiva Sousa M.G.; Santiago B.M.; da Silva Faquim J.P.; Cavalcanti Y.W.,"Monteiro, Debora Lana Alves (58236008200); Laureano, Isla Camilla Carvalho (57208668571); Menezes, Cecília Cruz Teles (60103277400); de Paiva Sousa, Maria Gabriela (60142576300); Santiago, Bianca Marques (8297131600); da Silva Faquim, Juliana Pereira (57219799340); Cavalcanti, Yuri Wanderley (49863051000)",58236008200; 57208668571; 60103277400; 60142576300; 8297131600; 57219799340; 49863051000,"Global mapping of oral health plans, programmes and policies in countries with universal health coverage: a scoping review protocol",2025,BMJ Open ,0,10.1136/bmjopen-2025-103934,"Dental Clinics and Social Dentistry, Federal University of Paraíba, Paraíba, João Pessoa, Brazil; Center for Applied Social Sciences, Federal University of Paraíba, Paraíba, João Pessoa, Brazil; University of Saskatchewan, College of Dentistry, Saskatoon, SK, Canada","delivery of health care, integrated; dentistry; health equity; health policy",Global Health; Health Policy; Humans; Oral Health; Research Design; Scoping Review as Topic; Universal Health Insurance; dentistry; grey literature; health care policy; health equity; human; integrated health care system; International Monetary Fund; population structure; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; protocol; review; scoping review; systematic review; universal health insurance; Web of Science; World Health Organization; global health; health; methodology; scoping review (topic),BMJ Publishing Group,English,Review,All Open Access; Gold Open Access; Green Open Access,20446055,2-s2.0-105016275082
Protázio A.S.; Santos V.G.M.; Carvalho B.F.; Filho J.A.A.; Delfim F.R.; Mesquita D.O.,"Protázio, Arielson Dos Santos (37073215200); Santos, Vitória Gomes De Melo (59491491400); Carvalho, Breno Falcão De (60381218900); Filho, João Antônio De Araújo (57213106612); Delfim, Fagner Ribeiro (54784416900); Mesquita, Daniel Oliveira (55664632900)",37073215200; 59491491400; 60381218900; 57213106612; 54784416900; 55664632900,"Autoecology of Carvalho’s Surinam Toad (Pipa carvalhoi: Anura, Pipidae) From Northeastern Brazil",2025,Herpetological Conservation and Biology,1,,"Departamento de Sistemática e Ecologia, Universidade Federal da Paraíba, Campus I, Cidade Universitária, Paraíba, João Pessoa, 58051900, Brazil; Centro de Ciências Agrárias, Ambientais e Biológicas, Universidade Federal do Recôncavo da Bahia, Rua Rui Barbosa, Centro, Bahia, Cruz das Almas, 44380000, Brazil; Universidade Regional do Cariri, Rua Vicente Alexandrino de Alencar, Centro, Ceará, Campos Sales, 63150000, Brazil",diet; endoparasites; geographical distribution; natural history; sexual dimorphism,,Malcolm L. McCallum,English,Article,,21510733,2-s2.0-105029837681
Martins H.D.D.; Onofre E.G.; Carvalho L.I.; Costa M.D.D.A.S.; dos Reis L.A.; Paranaiba L.M.R.; do Nascimento M.C.; Toporcov T.N.; de Lucena E.H.G.; Bonan P.R.F.,"Martins, Hélder Domiciano Dantas (57209022372); Onofre, Eduarda Gomes (59736660900); Carvalho, Livian Isabel (59011290700); Costa, Maria do Desterro Andrêzza Souza (59127224800); dos Reis, Leonardo Amaral (57200324263); Paranaiba, Livia Maris Ribeiro (25422597100); do Nascimento, Murilo César (57218126888); Toporcov, Tatiana Natasha (6507474354); de Lucena, Edson Hilan Gomes (38761167900); Bonan, Paulo Rogério Ferreti (9533842700)",57209022372; 59736660900; 59011290700; 59127224800; 57200324263; 25422597100; 57218126888; 6507474354; 38761167900; 9533842700,Tele Estomato: A Mobile Platform for Telediagnosis in Oral Medicine—A National Brazilian Experience,2025,Oral Diseases,3,10.1111/odi.15343,"Dentistry Postgraduate Program, Federal University of Paraíba, João Pessoa, Brazil; Dentistry Postgraduate Program, Federal University of Alfenas, Alfenas, Brazil; Nursing Postgraduate Program, Federal University of Alfenas, Alfenas, Brazil; Epidemiology Department, Public Health Faculty, State University of São Paulo, São Paulo, Brazil",epidemiology; mobile application; oral diagnosis; telemedicine,anamnesis; Article; Brazil; Brazilian; coronavirus disease 2019; diagnostic accuracy; early cancer diagnosis; health care disparity; health care system; health infrastructure; human; medical documentation; medical photography; medical specialist; mouth cancer; mouth disease; oral potentially malignant disorder; pandemic; stomatology; telediagnosis; telemedicine; epidemiology; letter; mobile application; mouth disease,John Wiley and Sons Inc,English,Article,,1354523X,2-s2.0-105002595100
Silva J.B.D.; Oliveira - Porto I.; Alencar B.R.A.; Santos Júnior E.P.; Amaral D.R.D.; do Valle D.S.G.M.; de Abreu Í.B.S.; Silva S.P.D.; Silva A.F.; de Moura R.S.; Carvalho M.; Antonino A.C.D.; Sales A.T.; Dutra E.D.; Menezes R.S.C.,"Silva, Jéssica Bárbara da (60210866300); Oliveira - Porto, Ita (60210620300); Alencar, Bárbara Ribeiro Alves (57190139210); Santos Júnior, Edvaldo Pereira (57205126240); Amaral, Diego Ribeiro do (58602811500); do Valle, Daniela Silva Gomes Moreira (59273319900); de Abreu, Íthalo Barbosa Silva (57221914585); Silva, Suzyane Porfírio da (60210866400); Silva, Alineaurea Florentino (26025384100); de Moura, Roseane Simões (58853525900); Carvalho, Monica (26655308900); Antonino, Antônio Celso Dantas (6603002787); Sales, Aldo Torres (57210124677); Dutra, Emmanuel Damilano (55325803300); Menezes, Rômulo Simões Cezar (57223223654)",60210866300; 60210620300; 57190139210; 57205126240; 58602811500; 59273319900; 57221914585; 60210866400; 26025384100; 58853525900; 26655308900; 6603002787; 57210124677; 55325803300; 57223223654,"Small-scale biodigesters in a tropical semi-arid region: Impacts on emissions and water, energy and food security",2025,Energy Nexus,1,10.1016/j.nexus.2025.100602,"Research Group on Biomass Energy, Department of Nuclear Energy, Federal University of Pernambuco, Cidade Universitária, Av. Prof. Moraes Rego, 1235, PE, Recife, 50740-545, Brazil; Federal University of Vale do São Francisco, Postgraduate program in rural extension, Av. José de Sá Maniçoba, S/N – Centro, PE, Petrolina, 56304-917, Brazil; Embrapa Semiárido, Rodovia BR-428, Km 152, S/N - Zona Rural, PE, Petrolina, 56302-970, Brazil; Diaconia, Av. José Barbosa da Silva, S/N - São Cristóvão, PE 56800-000, Afogados da Ingazeira, Brazil; Federal University of Paraíba, Department of Renewable Energy Engineering, Cidade Universitária, Campus I, João Pessoa-PB, Brazil; Center for Technology and Geosciences, Department of Nuclear Energy, Federal University of Pernambuco, Recife, 50740-545, Brazil; Center of Human and Agricultural Sciences, Paraíba State University, Sousa, 58804-725, Brazil",Biofertilizer; Biogas; Family farming; Life cycle assessment; Social technology,,Elsevier Ltd,English,Article,All Open Access; Gold Open Access; Green Open Access,27724271,2-s2.0-105022911533
Díaz M.A.; Fernandes K.F.D.; de Souza E.L.; Dib J.R.,"Díaz, Mariana Andrea (57208879594); Fernandes, Karina Felix Dias (57270799200); de Souza, Evandro Leite (9332736200); Dib, Julián Rafael (23970087900)",57208879594; 57270799200; 9332736200; 23970087900,Edible coatings enriched with biocontrol agents for postharvest Management of Penicillium digitatum in lemons,2025,Pest Management Science,0,10.1002/ps.70085,"Pilot Plant of Industrial Microbiological Processes (PROIMI)-National Scientific and Technical Research Council (CONICET), Tucumán, Argentina; Laboratory of Food Microbiology, Department of Nutrition, Health Sciences Center, Federal University of Paraíba, Campus I, Cidade Universitária, João Pessoa, Brazil; Institute of Microbiology, Faculty of Biochemistry, Chemistry, and Pharmacy, National University of Tucumán (UNT), Tucumán, Argentina",alginate; edible coatings; lemon; P. digitatum,"Alginates; Bacillus; Bacillus velezensis; Biological Control Agents; Chitosan; Citrus; Edible Films; Food Preservation; Fruit; Fungicides, Industrial; Penicillium; Penicillium digitatum; Pest Control, Biological; Plant Diseases; Argentina; alginic acid; chitosan; fungicide; biocontrol agent; fruit; growth rate; host-pathogen interaction; inhibition; Bacillus; Bacillus velezensis; biological control agent; biological pest control; Citrus; drug effect; edible packaging; food preservation; fruit; growth, development and aging; microbiology; Penicillium; Penicillium digitatum; pharmacology; physiology; plant disease; prevention and control; procedures",John Wiley and Sons Ltd,English,Article,,1526498X,2-s2.0-105011346909
Serafim C.M.M.; da Paz R.A.; Dias R.A.; Medeiros V.D.N.; da Silva P.T.V.; Luna C.B.B.; Wellen R.M.R.; Araújo E.M.,"Serafim, Clara Maria Marinho (59421056900); da Paz, Renê Anísio (26040652900); Dias, Rafael Agra (57218659424); Medeiros, Vanessa da Nóbrega (60161340000); da Silva, Pamela Thainara Vieira (58496651600); Luna, Carlos Bruno Barreto (56715200900); Wellen, Renate Maria Ramos (11440162500); Araújo, Edcleide Maria (7006177283)",59421056900; 26040652900; 57218659424; 60161340000; 58496651600; 56715200900; 11440162500; 7006177283,Exploring the Effect of the Porogenic Agent on Flat Membranes Based on Polyamide 6 (PA6)/Carbon Nanotubes (MWCNT) Nanocomposites,2025,Processes,3,10.3390/pr13103155,"Department of Materials Engineering, Federal University of Campina Grande, Av. Aprígio Veloso, 882, Bodocongó, Paraíba, Campina Grande, 58429-900, Brazil; National Institute of the Semiarid Region, Av. Francisco Lopes de Almeida, 4000, Serrotão, Paraíba, Campina Grande, 58434-700, Brazil; Department of Materials Engineering, Federal University of Paraíba, Cidade Universitária, Paraíba, João Pessoa, 58051-900, Brazil",carbon nanotubes; phase inversion method; polyamide 6; porogenic agent; water flux,Calcium chloride; Contact angle; Flow of water; Gelation; Membrane technology; Microfiltration; Morphology; Nafion membranes; Precipitation (chemical); Viscosity; Wastewater treatment; Water filtration; Water vapor; Yarn; Filler contents; Flat membrane; Membrane-based; MWCNT's; Phase inversion process; Phase-inversion method; Polyamide 6; Porogenic agent; Water flux; Water purification; Carbon nanotubes; Nanocomposites,Multidisciplinary Digital Publishing Institute (MDPI),English,Article,All Open Access; Gold Open Access,22279717,2-s2.0-105020160154
Dutra L.M.G.; Aquino J.D.S.; Alves M.E.F.; Moura R.D.L.; Nascimento Y.M.D.; da Silva M.S.; Tavares J.F.; da Silva F.A.P.; Ferreira V.C.D.S.; de Araújo W.J.; Freitas J.C.R.; Viera V.B.; Pereira D.E.; Soares J.K.B.,"Dutra, Larissa Maria Gomes (58245072300); Aquino, Jailane de Souza (60007833200); Alves, Maria Elizângela Ferreira (58862988200); Moura, Renally de Lima (58631511000); Nascimento, Yuri Mangueira do (57192961648); da Silva, Marcelo Sobral (7402847636); Tavares, Josean Fechine (14052955400); da Silva, Fábio Anderson Pereira (58915544000); Ferreira, Valquíria Cardoso da Silva (57189873891); de Araújo, Wydemberg Jose (57267309600); Freitas, Juliano Carlo Rufino (36650868000); Viera, Vanessa Bordin (25825753800); Pereira, Diego Elias (57194768841); Soares, Juliana Késsia Barbosa (55293769000)",58245072300; 60007833200; 58862988200; 58631511000; 57192961648; 7402847636; 14052955400; 58915544000; 57189873891; 57267309600; 36650868000; 25825753800; 57194768841; 55293769000,Consumption of goat yogurt enriched with Cereus jamacaru DC. modulates the gut-brain axis inducing anxiolytic-like behavior in young rats,2025,Physiology and Behavior,2,10.1016/j.physbeh.2025.115063,"Program of Food Science and Technology, Federal University of Paraíba, João Pessoa, Brazil; Laboratory of Experimental Nutrition, Department of Nutrition, Federal University of Campina Grande, Cuité, Brazil; Post-Graduate Program in Bioactive Natural and Synthetic Products, Health Sciences Center, Federal University of Paraíba, João Pessoa, Brazil; Chromatography and Spectrometry Laboratory, Department of Agroindustrial Management and Technology, Federal University of Paraíba, Bananeiras, Brazil; Program in Agrifood Technology, Federal University of Paraíba, Bananeiras, Brazil; Federal Institute of Education, Science and Technology of Paraíba, Princesa Izabel, Brazil; Education and Health Center, Academic Unit of Biology and Chemistry, Federal University of Campina Grande, CG, Cuité, Brazil; Center for Education and Health, Federal University of Campina Grande, Cuité, Brazil; Laboratory for Synthesis and Analysis of Natural Antioxidants, Department of Nutrition, Federal University of Campina Grande, CG, Cuité, Brazil",Anxiety; Bioactive compounds; Fecal microbiota; Neuroprotection; Oxidative stress,"Animals; Anxiety; Behavior, Animal; Brain; Brain-Gut Axis; Gastrointestinal Microbiome; Goats; Male; Rats; Rats, Wistar; Yogurt; carbonyl derivative; fatty acid; glutathione; ketamine; malonaldehyde; polyunsaturated fatty acid; xylazine; yoghurt; Actinobacteria; animal experiment; animal model; animal tissue; antioxidant activity; anxiety; Article; bacterium; Bacteroidetes; behavior assessment; behavioral test parameters; Bifidobacterium; bioassay; Blautia; brain tissue; brain-gut axis; cereus jamacaru; Collinsella; comparative study; controlled study; DNA extraction; elevated plus maze test; experimental design; feces microflora; Firmicutes; flour; goat milk; in vitro study; intestine flora; Lactobacillus; light-dark test; locomotion; male; microbial community; microbial diversity; mobilization; modulation; neuroprotection; nonhuman; open field test; oxidative stress; population abundance; rat; rearing; serum group Gc system; species richness; Streptococcus; Streptococcus salivarius; taxon; time spent in open arms; Wistar rat; animal; animal behavior; brain; goat; metabolism; microbiology; physiology",Elsevier Inc.,English,Article,,00319384,2-s2.0-105013154669
